,nW,n,utm48_x,utm48_y,x,y,z,lat,lon,zabs
321,321,321,397234.9039939258,5938045.236215421,-638.564,145.987,-1.392,53.581177705123466,103.44773577774839,468.608
322,322,322,397234.5799939258,5938045.797215422,-638.888,146.548,-1.889,53.581182682364215,103.44773070099936,468.111
323,323,323,397234.75799392577,5938042.657215421,-638.71,143.408,-1.16,53.581154503563056,103.44773442245157,468.84
324,324,324,397232.2729939258,5938041.829215421,-641.195,142.58,-1.283,53.58114657687237,103.44769717437336,468.717
325,325,325,397230.5929939258,5938048.320215422,-642.875,149.071,-1.756,53.58120457093108,103.44766967100722,468.244
326,326,326,397228.7599939258,5938047.944215422,-644.708,148.695,-1.675,53.581200833309865,103.44764211854307,468.325
327,327,327,397228.15499392577,5938050.5232154215,-645.313,151.274,-1.823,53.58122388771391,103.44763213451672,468.177
328,328,328,397225.48099392577,5938051.501215422,-647.987,152.252,-2.068,53.58123215131205,103.44759143802175,467.932
329,329,329,397225.0219939258,5938049.384215421,-648.446,150.135,-1.578,53.58121303960122,103.44758520472,468.422
330,330,330,397224.9199939258,5938047.531215421,-648.548,148.282,-1.529,53.58119636995115,103.44758427479596,468.471
331,331,331,397226.5799939258,5938046.144215421,-646.888,146.895,-1.465,53.58118423269538,103.44760979566162,468.535
332,332,332,397227.6679939258,5938044.475215421,-645.8,145.226,-1.461,53.581169449511705,103.4476267728082,468.539
333,333,333,397226.5129939258,5938042.302215422,-646.955,143.053,-1.467,53.581149698247025,103.44761004912301,468.533
334,334,334,397223.7879939258,5938042.323215421,-649.68,143.074,-1.495,53.58114935296306,103.44756889778009,468.505
335,335,335,397220.2849939258,5938044.748215421,-653.183,145.499,-1.606,53.58117045573948,103.44751520788341,468.394
336,336,336,397216.7599939258,5938048.298215421,-656.708,149.049,-1.732,53.58120166258231,103.44746081528427,468.268
337,337,337,397216.3309939258,5938051.249215421,-657.137,152.0,-1.817,53.58122809397316,103.44745336606144,468.183
338,338,338,397217.5709939258,5938054.4042154215,-655.897,155.155,-2.083,53.58125668542856,103.44747104972949,467.917
339,339,339,397220.4169939258,5938058.241215421,-653.051,158.992,-2.317,53.58129171953989,103.44751275770467,467.683
340,340,340,397214.2349939258,5938057.702215421,-659.233,158.453,-2.225,53.58128566500724,103.44741959367086,467.775
341,341,341,397206.5419939258,5938057.974215421,-666.926,158.725,-2.461,53.58128660129744,103.44730334810319,467.539
342,342,342,397200.2289939258,5938058.436215421,-673.239,159.187,-2.526,53.58128951515623,103.44720787646165,467.474
343,343,343,397191.9089939258,5938058.215215421,-681.559,158.966,-3.12,53.58128589861188,103.44708232625044,466.88
344,344,344,397184.4069939258,5938059.073215421,-689.061,159.824,-3.54,53.58129213736963,103.44696877153693,466.46
345,345,345,397178.5589939258,5938058.572215421,-694.909,159.323,-3.886,53.58128648933179,103.44688063810794,466.114
346,346,346,397179.5929939258,5938054.109215422,-693.875,154.86,-3.189,53.581246590895965,103.44689772063562,466.811
347,347,347,397182.0639939258,5938050.183215422,-691.404,150.934,-3.079,53.58121179923958,103.44693632333369,466.921
348,348,348,397181.7829939258,5938042.028215421,-691.685,142.779,-2.695,53.581138469486206,103.44693476697879,467.305
349,349,349,397179.5999939258,5938044.669215421,-693.868,145.42,-2.61,53.581161771564055,103.44690093613939,467.39
350,350,350,397178.0669939258,5938046.727215421,-695.401,147.478,-2.576,53.581179962663604,103.44687711159467,467.424
351,351,351,397174.0559939258,5938047.479215422,-699.412,148.23,-3.029,53.581185933219956,103.44681630225102,466.971
352,352,352,397172.2609939258,5938045.499215421,-701.207,146.25,-3.245,53.581167790522024,103.44678985207676,466.755
353,353,353,397172.5309939258,5938042.176215421,-700.937,142.927,-3.247,53.58113798549186,103.44679502353763,466.753
354,354,354,397168.9099939258,5938046.749215421,-704.558,147.5,-3.366,53.58117836508609,103.44673884392432,466.634
355,355,355,397168.4549939258,5938049.875215421,-705.013,150.626,-3.282,53.58120636374888,103.4467309440289,466.718
356,356,356,397166.2719939258,5938052.604215422,-707.196,153.355,-3.358,53.58123045646905,103.44669708402998,466.642
357,357,357,397164.4099939258,5938056.460215421,-709.058,157.211,-3.403,53.58126473848684,103.44666769941774,466.597
358,358,358,397157.6359939258,5938056.008215421,-715.832,156.759,-3.518,53.58125934893238,103.44656556835926,466.482
359,359,359,397149.88299392577,5938055.856215421,-723.585,156.607,-3.099,53.58125646288447,103.44644855664609,466.901
360,360,360,397141.6509939258,5938055.516215421,-731.817,156.267,-3.109,53.581251793558536,103.44632437453343,466.891
361,361,361,397132.7949939258,5938056.615215422,-740.673,157.366,-3.434,53.58125993148057,103.44619029647296,466.566
362,362,362,397125.0419939258,5938055.967215422,-748.426,156.718,-3.266,53.581252588386434,103.44607344827514,466.734
363,363,363,397121.1809939258,5938056.765215421,-752.287,157.516,-3.559,53.5812590012766,103.44601488839456,466.441
364,364,364,397122.4729939258,5938052.539215421,-750.995,153.29,-2.971,53.581221283078676,103.44603578911813,467.029
365,365,365,397124.7559939258,5938050.485215421,-748.712,151.236,-2.938,53.581203275200224,103.4460709368866,467.062
366,366,366,397119.8049939258,5938049.3302154215,-753.663,150.081,-2.892,53.58119192610759,103.44599656304096,467.108
367,367,367,397121.1919939258,5938045.353215422,-752.276,146.104,-2.55,53.58115646387167,103.44601881606425,467.45
368,368,368,397120.91599392577,5938041.4722154215,-752.552,142.223,-2.335,53.581121538015545,103.44601592801703,467.665
369,369,369,397118.0699939258,5938037.142215421,-755.398,137.893,-2.186,53.58108207366781,103.4459743839596,467.814
370,370,370,397115.21999392577,5938038.115215422,-758.248,138.866,-2.395,53.581090257249954,103.44593103154168,467.605
371,371,371,397111.3059939258,5938037.034215421,-762.162,137.785,-2.569,53.58107977640922,103.4458722910314,467.431
372,372,372,397110.1649939258,5938042.553215421,-763.303,143.304,-2.416,53.581129142116,103.44585324392389,467.584
373,373,373,397110.14999392576,5938046.513215422,-763.318,147.264,-2.346,53.581164720722704,103.44585171202505,467.654
374,374,374,397115.7929939258,5938045.194215422,-757.675,145.945,-3.25,53.581153976165844,103.44593734971225,466.75
375,375,375,397111.4069939258,5938050.058215422,-762.061,150.809,-4.027,53.58119681998574,103.4458695227001,465.973
376,376,376,397110.0289939258,5938055.250215421,-763.439,156.001,-5.332,53.58124320102425,103.44584700489246,464.668
377,377,377,397106.3419939258,5938049.702215421,-767.126,150.453,-2.319,53.58119262761003,103.44579316424957,467.681
378,378,378,397101.2589939258,5938050.772215421,-772.209,151.523,-2.486,53.581201244605175,103.44571606391177,467.514
379,379,379,397098.7449939258,5938052.179215421,-774.723,152.93,-2.564,53.58121339360769,103.44567764146247,467.436
